Id,OverallQual,GrLivArea,YearBuilt,YearRemodAdd,YrSold,TotalBsmtSF,1stFlrSF,2ndFlrSF,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,GarageCars,GarageArea,LotArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,SalePrice,TotalSF,TotalBath,HouseAge,Remodeled,HasGarage,TotalPorch,Qual_Area,Qual_TotalSF,SalePrice_Log,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker
1,6,1726,1997,2012,2008,1382.0,1258,468,2,1,3,7,2,477.0,5158,340,230,130,222383,3108.0,2.5,11,1,1,700,10356,18648.0,12.312160896324539,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,10,1770,1962,1972,2008,1502.0,1090,680,1,0,1,4,2,442.0,17819,110,150,60,302794,3272.0,1.0,46,1,1,320,17700,32720.0,12.62081128785956,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,8,1760,1894,1894,2008,959.0,1383,377,2,1,3,6,2,504.0,5384,470,130,140,285223,2719.0,2.5,114,0,1,740,14080,21752.0,12.561030115454392,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
4,7,1399,1909,1919,2009,1047.0,1081,318,2,0,2,6,1,252.0,6280,20,210,150,224069,2446.0,2.0,100,1,1,380,9793,17122.0,12.319713782019223,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
5,5,1237,1936,1936,2007,781.0,975,262,1,1,3,5,2,452.0,7452,470,290,70,166691,2018.0,1.5,71,0,1,830,6185,10090.0,12.02390307718539,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
6,5,1315,2007,2027,2009,1133.0,826,489,2,0,3,7,3,632.0,9017,30,0,10,177643,2448.0,2.0,2,1,1,40,6575,12240.0,12.087536826603548,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,3,1014,1927,1937,2010,603.0,567,447,2,0,4,7,1,245.0,6606,440,190,180,116855,1617.0,2.0,83,1,1,810,3042,4851.0,11.668697686530647,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
8,9,1934,1901,1901,2009,1829.0,1330,604,2,1,3,5,2,441.0,5897,30,220,0,349280,3763.0,2.5,108,0,1,250,17406,33867.0,12.763632034812197,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
9,7,1872,1885,1885,2010,1339.0,1320,552,2,0,3,7,2,489.0,14143,30,250,30,249364,3211.0,2.0,125,0,1,310,13104,22477.0,12.426672965571601,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10,8,1790,1983,2003,2006,1072.0,962,828,2,0,3,7,1,258.0,16322,380,200,100,282634,2862.0,2.0,23,1,1,680,14320,22896.0,12.551911591528405,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
11,2,751,1915,1915,2006,539.0,552,199,1,0,3,5,0,71.0,11962,200,30,90,58607,1290.0,1.0,91,0,1,320,1502,2580.0,10.978626485018596,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
12,10,2192,1958,1978,2010,1543.0,1107,1085,1,0,2,4,2,452.0,5211,430,80,170,376933,3735.0,1.0,52,1,1,680,21920,37350.0,12.839825384791254,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
13,9,2087,1995,2010,2010,1491.0,1345,742,2,0,3,7,0,37.0,3086,10,230,0,368607,3578.0,2.0,15,1,1,240,18783,32202.0,12.817489027726232,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
14,5,1004,1936,1936,2009,795.0,601,403,2,0,4,6,1,261.0,10906,150,180,160,136915,1799.0,2.0,73,0,1,490,5020,8995.0,11.827122878077736,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
15,5,1369,1928,1943,2010,1041.0,988,381,2,0,3,7,2,497.0,8638,60,130,150,206776,2410.0,2.0,82,1,1,340,6845,12050.0,12.239396196862502,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,5,1390,1961,1961,2007,799.0,825,565,1,1,3,7,0,18.0,9162,180,210,110,170158,2189.0,1.5,46,0,1,500,6950,10945.0,12.044488573035036,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17,6,1340,1945,1945,2006,713.0,1002,338,1,0,4,7,2,462.0,8904,420,110,150,217616,2053.0,1.0,61,0,1,680,8040,12318.0,12.290491915912325,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
18,7,1825,1956,1956,2006,1578.0,1238,587,1,0,3,6,1,294.0,14833,320,290,80,227814,3403.0,1.0,50,0,1,690,12775,23821.0,12.3362891750618,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19,7,1519,1924,1929,2010,1184.0,1121,398,3,1,4,7,2,425.0,11337,80,290,160,227357,2703.0,3.5,86,1,1,530,10633,18921.0,12.33428114667014,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
20,6,1425,1958,1958,2008,968.0,1135,290,2,1,3,6,2,477.0,11042,360,270,20,165670,2393.0,2.5,50,0,1,650,8550,14358.0,12.01775917301022,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
21,7,1515,1899,1919,2008,1369.0,1066,449,2,0,3,7,2,477.0,17404,160,30,170,265525,2884.0,2.0,109,1,1,360,10605,20188.0,12.489468043306365,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
22,5,1253,2002,2027,2010,869.0,996,257,1,0,3,7,2,411.0,10056,260,60,140,180417,2122.0,1.0,8,1,1,460,6265,10610.0,12.10303165990365,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
23,6,1180,1946,1946,2007,1059.0,600,580,1,1,4,7,1,283.0,14855,320,160,140,158984,2239.0,1.5,61,0,1,620,7080,13434.0,11.976565137129464,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24,6,1111,1962,1962,2008,725.0,668,443,2,0,4,7,2,432.0,14306,480,0,150,178265,1836.0,2.0,46,0,1,630,6666,11016.0,12.091032095819042,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
25,7,1868,1882,1902,2010,1002.0,994,874,1,0,3,6,1,260.0,11318,110,130,190,202210,2870.0,1.0,128,1,1,430,13076,20090.0,12.217066985671387,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
26,8,1530,1943,1968,2007,1478.0,885,645,2,0,3,6,1,280.0,16364,440,140,0,269478,3008.0,2.0,64,1,1,580,12240,24064.0,12.504245744217185,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
27,5,1051,1919,1934,2007,732.0,790,261,2,1,3,6,2,486.0,2481,100,110,0,137182,1783.0,2.5,88,1,1,210,5255,8915.0,11.829071079891312,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
28,7,1119,1938,1953,2009,1003.0,570,549,2,0,2,5,3,603.0,11728,120,110,30,195874,2122.0,2.0,71,1,1,260,7833,14854.0,12.185231979658322,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
29,7,1422,1941,1941,2007,909.0,932,490,2,1,3,5,2,503.0,5052,300,50,120,210231,2331.0,2.5,66,0,1,470,9954,16317.0,12.255966961804017,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
30,3,685,1939,1939,2008,563.0,459,226,2,1,3,7,0,92.0,18805,120,250,30,88247,1248.0,2.5,69,0,1,400,2055,3744.0,11.387906311649218,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
31,7,1878,1995,2000,2008,1759.0,1255,623,1,0,3,6,3,681.0,13438,370,260,70,247317,3637.0,1.0,13,1,1,700,13146,25459.0,12.418430236950497,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
32,5,1451,1954,1969,2010,755.0,932,519,2,1,3,7,1,260.0,17818,250,280,120,179713,2206.0,2.5,56,1,1,650,7255,11030.0,12.099121977360827,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
33,3,812,2001,2001,2010,743.0,598,214,2,0,3,7,3,636.0,6552,300,120,70,135202,1555.0,2.0,9,0,1,490,2436,4665.0,11.814532631693933,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
34,10,2450,1986,1991,2007,1924.0,1323,1127,1,1,5,8,2,417.0,6906,210,150,130,457657,4374.0,1.5,21,1,1,490,24500,43740.0,13.033877459267593,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
35,10,2196,1975,1975,2006,1765.0,1302,894,3,0,4,7,2,401.0,19358,50,130,0,366404,3961.0,3.0,31,0,1,180,21960,39610.0,12.811494557977213,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
36,8,1635,1970,1970,2009,1245.0,1119,516,1,0,2,5,2,469.0,14350,190,60,80,263703,2880.0,1.0,39,0,1,330,13080,23040.0,12.482582540978704,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
37,6,900,2009,2019,2006,843.0,636,264,1,0,4,6,3,681.0,14101,200,280,0,205468,1743.0,1.0,-3,1,1,480,5400,10458.0,12.233050449957673,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
38,4,1558,1941,1951,2007,1107.0,967,591,1,0,3,7,3,647.0,8598,90,240,60,178976,2665.0,1.0,66,1,1,390,6232,10660.0,12.095012584947025,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
39,8,1422,1928,1928,2007,896.0,1084,338,3,0,4,6,2,436.0,8219,180,150,190,240138,2318.0,3.0,79,0,1,520,11376,18544.0,12.38897320133851,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
40,7,1220,1971,1986,2006,1144.0,762,458,2,0,3,6,2,452.0,17356,340,220,120,218568,2364.0,2.0,35,1,1,680,8540,16548.0,12.294857033140465,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
41,4,1304,2003,2003,2009,1142.0,809,495,2,0,3,5,2,430.0,10094,250,80,140,164461,2446.0,2.0,6,0,1,470,5216,9784.0,12.010434819462738,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
42,7,2037,1940,1940,2006,1036.0,1040,997,1,1,4,8,2,450.0,2112,60,250,80,248140,3073.0,1.5,66,0,1,390,14259,21511.0,12.421752411971816,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
43,3,1226,1927,1947,2010,929.0,815,411,2,0,3,6,2,429.0,8786,360,130,150,166147,2155.0,2.0,83,1,1,640,3678,6465.0,12.020634236394613,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
44,9,1962,1937,1942,2008,1500.0,1398,564,2,1,4,7,0,68.0,11568,70,240,160,346817,3462.0,2.5,71,1,1,470,17658,31158.0,12.75655542565579,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
45,6,1518,1980,1980,2010,1107.0,811,707,2,0,4,7,2,487.0,11305,40,290,80,215565,2625.0,2.0,30,0,1,410,9108,15750.0,12.281022406137701,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
46,8,1870,1991,1991,2008,1213.0,1106,764,1,0,5,9,3,665.0,4517,430,290,50,293879,3083.0,1.0,17,0,1,770,14960,24664.0,12.590926799734214,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
47,6,1551,1941,1966,2007,1304.0,1139,412,1,0,3,5,3,647.0,11426,350,230,190,219664,2855.0,1.0,66,1,1,770,9306,17130.0,12.299858937534337,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
