Id,OverallQual,GrLivArea,YearBuilt,YearRemodAdd,YrSold,TotalBsmtSF,1stFlrSF,2ndFlrSF,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,GarageCars,GarageArea,LotArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,Neighborhood,SalePrice
1,6,1726,1997,2012,2008,1382.0,1258,468,2,1,3,7,2,477.0,5158,340,230,130,BrDale,222383
2,10,1770,1962,1972,2008,1502.0,1090,680,1,0,1,4,2,442.0,17819,110,150,60,MeadowV,302794
3,8,1760,1894,1894,2008,959.0,1383,377,2,1,3,6,2,504.0,5384,470,130,140,Veenker,285223
4,7,1399,1909,1919,2009,1047.0,1081,318,2,0,2,6,1,252.0,6280,20,210,150,Timber,224069
5,5,1237,1936,1936,2007,781.0,975,262,1,1,3,5,2,452.0,7452,470,290,70,Timber,166691
6,5,1315,2007,2027,2009,1133.0,826,489,2,0,3,7,3,632.0,9017,30,0,10,BrkSide,177643
7,3,1014,1927,1937,2010,603.0,567,447,2,0,4,7,1,245.0,6606,440,190,180,Sawyer,116855
8,9,1934,1901,1901,2009,1829.0,1330,604,2,1,3,5,2,441.0,5897,30,220,0,Veenker,349280
9,7,1872,1885,1885,2010,1339.0,1320,552,2,0,3,7,2,489.0,14143,30,250,30,IDOTRR,249364
10,8,1790,1983,2003,2006,1072.0,962,828,2,0,3,7,1,258.0,16322,380,200,100,SawyerW,282634
11,2,751,1915,1915,2006,539.0,552,199,1,0,3,5,0,71.0,11962,200,30,90,NWAmes,58607
12,10,2192,1958,1978,2010,1543.0,1107,1085,1,0,2,4,2,452.0,5211,430,80,170,Timber,376933
13,9,2087,1995,2010,2010,1491.0,1345,742,2,0,3,7,0,37.0,3086,10,230,0,Veenker,368607
14,5,1004,1936,1936,2009,795.0,601,403,2,0,4,6,1,261.0,10906,150,180,160,Somerst,136915
15,5,1369,1928,1943,2010,1041.0,988,381,2,0,3,7,2,497.0,8638,60,130,150,Blmngtn,206776
16,5,1390,1961,1961,2007,799.0,825,565,1,1,3,7,0,18.0,9162,180,210,110,CollgCr,170158
17,6,1340,1945,1945,2006,713.0,1002,338,1,0,4,7,2,462.0,8904,420,110,150,Veenker,217616
18,7,1825,1956,1956,2006,1578.0,1238,587,1,0,3,6,1,294.0,14833,320,290,80,IDOTRR,227814
19,7,1519,1924,1929,2010,1184.0,1121,398,3,1,4,7,2,425.0,11337,80,290,160,SWISU,227357
20,6,1425,1958,1958,2008,968.0,1135,290,2,1,3,6,2,477.0,11042,360,270,20,IDOTRR,165670
